length,protocol,src_port,dst_port,flags,label
97,0,37919,443,24,0
54,0,443,37919,16,0
94,0,443,37919,24,0
55,0,46043,443,16,0
66,0,443,46043,16,0
54,0,37919,443,16,0
937,0,55386,443,0,0
73,0,443,55386,0,0
110,0,443,55386,0,0
79,0,55386,443,0,0
68,0,443,55386,0,0
77,0,39849,15600,0,0
1292,0,61550,443,0,0
1292,0,61550,443,0,0
120,0,61550,443,0,0
82,0,443,61550,0,0
1292,0,443,61550,0,0
1292,0,443,61550,0,0
1292,0,61550,443,0,0
1292,0,443,61550,0,0
1284,0,443,61550,0,0
103,0,443,61550,0,0
152,0,61550,443,0,0
125,0,61550,443,0,0
1288,0,61550,443,0,0
112,0,61550,443,0,0
55,0,30599,443,16,0
66,0,443,30599,16,0
1026,0,443,61550,0,0
163,0,443,61550,0,0
71,0,443,61550,0,0
67,0,443,61550,0,0
73,0,61550,443,0,0
74,0,61550,443,0,0
705,0,443,61550,0,0
193,0,443,61550,0,0
77,0,61550,443,0,0
1288,0,53694,443,0,0
1292,0,53694,443,0,0
214,0,53694,443,0,0
166,0,443,53694,0,0
79,0,53694,443,0,0
1288,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
74,0,53694,443,0,0
74,0,53694,443,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
75,0,53694,443,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
74,0,53694,443,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
173,0,443,53694,0,0
1285,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
74,0,53694,443,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
74,0,53694,443,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
75,0,53694,443,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
75,0,53694,443,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
75,0,53694,443,0,0
75,0,53694,443,0,0
75,0,53694,443,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
1292,0,443,53694,0,0
